"문제키값","문제","오픈일자","보기순번","보기정보","정답여부"
"825","다음 중 ( )속의 말이 틀린 것은?","20151231","4621","그것은 나만의 (넋두리)였다.",""
"825","다음 중 ( )속의 말이 틀린 것은?","20151231","4622","나는 그를 별로 좋아하지 않는다. (더욱이) 그도 나를 좋아하지 않는다.",""
"825","다음 중 ( )속의 말이 틀린 것은?","20151231","4623","어제는 부장님 아기의 (돌)잔치에 다녀왔어요.",""
"825","다음 중 ( )속의 말이 틀린 것은?","20151231","4624","무능한 선배의 (뒤치다거리)하는 신세라니 한심하다.","정답"
"824","다음 중 ( )속의 말이 틀린 것은?","20151230","4617","(고깔) 모자를 쓴 아이들이 지나간다.",""
"824","다음 중 ( )속의 말이 틀린 것은?","20151230","4618","그는 (꼭두각시)처럼 움직였다.",""
"824","다음 중 ( )속의 말이 틀린 것은?","20151230","4619","보고서를 제 (날짜)에 내지 않으면 시험 점수가 엉망이다.",""
"824","다음 중 ( )속의 말이 틀린 것은?","20151230","4620","앞에는 천 길 (낭떨어지)가 있다.","정답"
"823","다음 중 ( )속의 말이 틀린 것은?","20151229","4613","당국의 (굼벵이) 행정이 여론의 질타를 받고 있다.",""
"823","다음 중 ( )속의 말이 틀린 것은?","20151229","4614","뱀의 눈은 청맹과니나 다름없고 (귀먹어리)에다 코의 기능도 형편없다.","정답"
"823","다음 중 ( )속의 말이 틀린 것은?","20151229","4615","그녀는 어떤 상황에서도 (기어이) 뜻을 이뤄 낸다.",""
"823","다음 중 ( )속의 말이 틀린 것은?","20151229","4616","달러화 약세가 심화되면서 (거꾸로) 유로화는 강세를 보이고 있다.",""
"822","다음 중 ( )속의 말이 틀린 것은?","20151228","4609","담배는 한 (개비)를 피워도 몸에 해롭다.",""
"822","다음 중 ( )속의 말이 틀린 것은?","20151228","4610","무리 반 (게시판)에는 봄 소풍 때 찍었던 단체 사진이 걸려 있어.",""
"822","다음 중 ( )속의 말이 틀린 것은?","20151228","4611","짬뽕 (곱빼기) 주세요.",""
"822","다음 중 ( )속의 말이 틀린 것은?","20151228","4612","저기 (구비구비) 흘러가는 강을 보아라.","정답"
"821","다음 중 ( )속의 말이 틀린 것은?","20151224","4605","우리 할머니의 (가르마)는 언제나 반듯하셔.",""
"821","다음 중 ( )속의 말이 틀린 것은?","20151224","4606","손님이 오셨을 때 주무실 수 있도록 방 한 (칸) 정도는 언제나 비워 둬야 해.",""
"821","다음 중 ( )속의 말이 틀린 것은?","20151224","4607","(강낭콩)은 세계적으로 가장 널리 재배되는 콩이다.",""
"821","다음 중 ( )속의 말이 틀린 것은?","20151224","4608","글씨가 워낙 (개발새발)이라서 알아볼 수가 없다.","정답"
"820","다음 중 ( )속의 말이 옳은 것은?","20151223","4601","오늘 내로 산을 (너머) 먼 길을 떠나야 한다.",""
"820","다음 중 ( )속의 말이 옳은 것은?","20151223","4602","그 이야기를 듣자 (웬지) 불길한 예감이 들었다.",""
"820","다음 중 ( )속의 말이 옳은 것은?","20151223","4603","원고에 가끔 오자가 눈에 (띈다).","정답"
"820","다음 중 ( )속의 말이 옳은 것은?","20151223","4604","비가 (옴으로써) 외출하지 않는다.",""
"819","다음 중 ( ) 속의 말이 어문 규정에 맞는 것은?","20151222","4597","그 사람은 예의가 (발라서) 면접에서 좋은 점수를 받았다.","정답"
"819","다음 중 ( ) 속의 말이 어문 규정에 맞는 것은?","20151222","4598","장마로 강물이 (불기) 전에 미리미리 제방을 점검해 두어야 한다.",""
"819","다음 중 ( ) 속의 말이 어문 규정에 맞는 것은?","20151222","4599","독창적인 연구가 대우받는 사회에서는 (짜집기) 논문이 발붙일 수 없다.",""
"819","다음 중 ( ) 속의 말이 어문 규정에 맞는 것은?","20151222","4600","목걸이가 떨어지면서 구술들이 (낟알)로 흩어졌다.",""
"818","( )속의 말이 옳은 것은?","20151221","4593","철수가 (올런지) 몰라.",""
"818","( )속의 말이 옳은 것은?","20151221","4594","지금쯤 (도착했을는지) 몰라.","정답"
"818","( )속의 말이 옳은 것은?","20151221","4595","일을 제대로 (할른지) 걱정이야.",""
"818","( )속의 말이 옳은 것은?","20151221","4596","어떻게 (할른가) 몰라.",""
"817","다음 중 맞춤법이 맞는 것은?","20151218","4589","맨날","정답"
"817","다음 중 맞춤법이 맞는 것은?","20151218","4590","더우기",""
"817","다음 중 맞춤법이 맞는 것은?","20151218","4591","삼가해야",""
"817","다음 중 맞춤법이 맞는 것은?","20151218","4592","일찌기",""
"816","다음 중 '부치다'의 사용이 잘못된 것은?","20151217","4585","빈대떡을 (부치다).",""
"816","다음 중 '부치다'의 사용이 잘못된 것은?","20151217","4586","싸움은 말리고 흥정은 (부쳐야) 한다.","정답"
"816","다음 중 '부치다'의 사용이 잘못된 것은?","20151217","4587","편지 (부치러) 우체국에 갔다.",""
"816","다음 중 '부치다'의 사용이 잘못된 것은?","20151217","4588","힘이 (부쳐서) 일을 다 하지 못했다.",""
"815","다음 중 단어의 쓰임이 적절한 것은?","20151216","4581","우리는 외국과의 교역량을 더 (늘여야) 한다.",""
"815","다음 중 단어의 쓰임이 적절한 것은?","20151216","4582","이 안건은 다음 회의에 (부치는) 것이 좋겠다.","정답"
"815","다음 중 단어의 쓰임이 적절한 것은?","20151216","4583","세금이 잘 (거쳐야) 국가의 재정이 튼튼해진다.",""
"815","다음 중 단어의 쓰임이 적절한 것은?","20151216","4584","같은 조직의 사람들 사이에는 신의가 (두꺼워야) 한다.",""
"814","다음 중 바른 표현은?","20151215","4577","어둠 속에 달빛이 비추다.",""
"814","다음 중 바른 표현은?","20151215","4578","밤을 지새다.",""
"814","다음 중 바른 표현은?","20151215","4579","담배를 피우다.","정답"
"814","다음 중 바른 표현은?","20151215","4580","신고식을 치루다.",""
"813","다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?","20151214","4573","그렇게 말하는 그를 보는 동료들은 모두 (아연실색)할 수밖에 없었다.",""
"813","다음 중 ( )속의 낱말의 쓰임이 바르지 않은 것은?","20151214","4574","김 대리는 사사건건 박 부장과 (부딪혀) 그 자리에서 더 버티지 못했다.","정답"
